step,vehicle_id,action,lane,pos,speed,reward
0,0,IDLE,0,165.2469904362107,26.22235815048704,-0.18888209247564802
0,1,IDLE,0,106.18660071708615,26.31636006495626,-0.18418199675218694
0,2,IDLE,0,16.342514978834565,25.447166049499057,-0.2527922432831458
0,3,IDLE,0,46.687713563494434,26.18858217031964,-0.19057089148401796
0,4,IDLE,1,135.69078145125272,25.166611550510574,-0.24166942247447132
0,5,IDLE,1,74.30375611867937,26.029906015399497,-0.3248577065671591
0,6,IDLE,1,104.56837732399985,25.895176768861205,-0.20524116155693972
0,7,IDLE,1,46.30781283506157,25.880699626061336,-0.6210027889969638
0,8,IDLE,2,110.69119686176327,26.33178831983313,-0.18341058400834354
0,9,LANE_LEFT,2,36.11180705929178,26.242163829312695,-0.18789180853436527
0,10,LANE_LEFT,2,10.368941463197373,25.713303872981,-0.9390250091167524
0,11,LANE_LEFT,2,85.74257271177679,25.30260349291071,-1.0205105281677107
1,0,IDLE,0,170.46530460794378,25.85850119759858,-0.20707494012007088
1,1,IDLE,0,111.42170370811125,25.924521746581078,-0.20377391267094613
1,2,IDLE,0,21.422379203312996,25.314059008701673,-0.23429704956491637
1,3,IDLE,0,51.89999531737045,25.83477924719294,-0.20826103764035298
1,4,IDLE,1,140.72053841130275,25.117016617093846,-0.2441491691453077
1,5,IDLE,1,79.48769818068901,25.72333591205013,-0.2959777260283239
1,6,IDLE,1,109.72825663168946,25.62871125604518,-0.2185644371977411
1,7,IDLE,1,51.465106513131786,25.61854349594431,-0.5895807102054547
1,8,IDLE,2,115.92905535180755,25.93535750309268,-0.20323212484536612
1,9,LANE_LEFT,2,41.333658541564084,25.872411358858848,-0.20637943205705755
1,10,LANE_LEFT,2,15.496338121993157,25.50097610832136,-0.9018244441004962
1,11,LANE_LEFT,2,90.79661794466702,25.21252810476033,-0.9813865387992264
2,0,IDLE,0,175.6186336284202,25.602952830137824,-0.2198523584931088
2,1,IDLE,0,116.58682405297388,25.64932117181003,-0.21753394140949855
2,2,IDLE,0,26.478470400751895,25.22057367963684,-0.23897131601815802
2,3,IDLE,0,57.04908757798021,25.58629214617666,-0.22068539269116694
2,4,IDLE,1,145.7414376754257,25.08218451022229,-0.2458907744888854
2,5,IDLE,1,84.61688656991936,25.508021929999543,-0.27535704846681697
2,6,IDLE,1,114.84054497947695,25.441564009732687,-0.22792179951336566
2,7,IDLE,1,56.57557889059673,25.43442286683606,-0.5672642447015781
2,8,IDLE,2,121.09611097170146,25.656931469936147,-0.2171534265031927
