step,vehicle_id,lane_index,position,speed
0,0,0,320.59500133025165,25.406101908950305
0,1,2,304.6750342539579,26.012715417222466
0,2,2,255.23875152828285,25.030363566411427
1,0,0,325.66753146543044,25.285218350319006
1,1,2,309.85181127415854,25.711262405511526
1,2,2,260.2220959176917,25.021325303158644
2,0,0,330.718471697545,25.20031796346136
2,1,2,314.9773263301312,25.499542320469
2,2,2,265.20166447057545,25.014977441998937
3,0,0,335.75424865068993,25.140689708219774
3,1,2,320.0663084038323,25.350844537832824
3,2,2,270.1789565717891,25.01051913621873
4,0,0,340.779375948372,25.09881087874969
4,1,2,325.23595012691015,26.73474952451359
4,2,2,275.1555068400338,25.007387925574747
5,0,0,345.7970236526425,25.06939803829882
5,1,2,330.65277331899,27.70671022846496
5,2,2,280.1327571959843,25.005188776261004
6,0,0,350.8094181994004,25.048740460368993
6,1,2,336.24318987356816,28.38934929626071
6,2,2,285.111962738364,25.00364424340965
7,0,0,355.8181232857379,25.034231983139815
7,1,2,341.9555263322294,28.868788531804505
7,2,2,290.0941073269432,25.00255946862241
8,0,0,360.82423714610115,25.024042215867745
8,1,2,347.75349103297117,29.205514030567773
8,2,2,295.079833585391,25.001797596618207
9,0,0,365.828531105643,25.01688561663139
9,1,2,353.61159518493264,29.442007110631963
9,2,2,300.06939614089146,25.001262509559016
10,0,0,370.83154689067095,25.011859308251402
10,1,2,359.5119371956381,29.608103759456192
10,2,2,305.06264567537556,25.000886700815112
11,0,0,375.8336649728854,25.008329171227324
11,1,2,365.4419442045286,29.724758744638642
11,2,2,310.05904845903245,25.00062275832282
12,0,0,380.83515256972186,25.005849843166516
12,1,2,371.3927858897851,29.806689269211226
12,2,2,315.0577421622497,25.000437383074463
13,0,0,385.8361973565261,25.00410853182614
13,1,2,377.35826043416273,29.86423169524849
13,2,2,320.0575951448442,25.000307188112654
14,0,0,390.83693114369174,25.002885553216714
14,1,2,383.3340121031906,29.904645580201954
14,2,2,324.95063954389656,23.51187555598584
15,0,0,395.8374465058712,25.002026616250973
15,1,2,389.31698172533373,29.933029543296847
15,2,2,329.47086706934897,20.9781622560559
16,0,0,400.8378084612016,25.00142335736694
16,1,2,395.3050207466469,29.95296450777501
16,2,2,333.4315758599838,17.710314231962442
17,0,0,405.83806267399876,25.000999669371566
17,1,2,401.1896242842495,28.47862527843732
17,2,2,336.9156402104283,16.903540311062784
18,0,0,410.8382412157713,25.000702099750676
18,1,2,406.81090962204445,27.44314971544569
18,2,2,340.14861819165816,14.848577008592791
19,0,0,415.83836661136456,25.000493107095124
19,1,2,412.2472581720458,26.715902132110003
19,2,2,343.01457803595656,13.405310601371069
20,0,0,420.8384546806976,25.000346324873394
20,1,2,417.5537197051058,0
20,2,2,345.6227693120805,12.391658474488322
